LAT,LON,RTE_DEFN_LN_NM,RTE_DFO,RMRKR_PNT_NBR,RMRKR_DISPLACEMENT,CTRL_SECT_LN_NBR,CTRL_SECT_MPT
29.706031,-96.540252,SS0052-KG,0.031,476,0.013,26610,1.031
30.180774,-96.593529,SS0125-KG,0.188,604,0.183,11415,0.188
30.180053,-96.593546,SS0125-KG,0.221,604,0.216,11415,0.221
31.442585,-100.43488,SS0126-KG,0,,,,
32.359322,-95.297617,SS0147-KG,1.309,674,1.257,,
32.359322,-95.297617,SS0147-LG,1.311,,,,
32.359322,-95.297617,SS0147-RG,1.313,,,,
36.23389,-100.27071,SS0188-KG,0.364,,,58205,0.528
29.393997,-94.902926,SS0197-KG,0.623,498,0.006,38911,0.623
33.139351,-96.106384,SS0302-KG,1.843,628,1.825,907,0.016
33.139351,-96.106384,SS0302-RG,1.887,,,,
31.341995,-94.735891,SS0339-KG,2.131,714,0.154,33604,2.254
31.358148,-94.75532,SS0339-KG,0.486,712,0.439,,
26.403969,-99.018656,TL0026-KG,0.203,,,TL0026,0.203
30.245413,-97.691349,TL0183-RG,327.324,,,,
30.245413,-97.691349,TL0183-RP,0,,,,
29.569495,-97.972885,UA0090-KG,1.629,520,1.533,,
36.06161,-102.522354,US0054-KG,60.9,272,1.233,,
31.457232,-94.726229,US0059-KG,173.628,378,0.949,17601,32.806
31.457232,-94.726229,US0059-LG,173.62,378,0.949,,
31.457232,-94.726229,US0059-RG,173.626,378,0.949,,
33.667033,-101.500433,US0062-KG,255.715,352,1.465,13103,4.533
33.667033,-101.500433,US0062-LG,255.716,352,1.465,,
33.667033,-101.500433,US0062-RG,255.716,352,1.465,,
33.423339,-94.054114,US0067-LG,0.707,212,0.698,,
31.963733,-95.270144,US0069-KG,162.33,360,0.245,,
32.349069,-95.317745,US0069-KG,134.405,331,0.855,24506,13.231
33.759398,-96.537101,US0069-KG,4.769,196,0.475,,
32.349069,-95.317745,US0069-LG,134.402,,,,
32.349069,-95.317745,US0069-RG,134.408,,,,
33.215126,-97.132962,US0077-KG,4.841,238,0.166,19601,24.834
32.38643,-96.849295,US0077-KG,70.674,304,1.55,,
29.899172,-96.872738,US0077-KG,258.533,496,1.404,26801,13.398
32.38643,-96.849295,US0077-RG,70.662,,,,
30.517421,-97.661564,US0079-KG,272.418,564,0.586,20401,6.179
31.963733,-95.270144,US0079-KG,86.392,372,1.229,20604,7.263
32.736566,-96.276944,US0080-KG,24.586,686,1.027,9505,15.078
32.548637,-94.36854,US0080-KG,139.375,806,0.222,9609,20.263
32.736566,-96.276944,US0080-LG,24.642,,,,
32.736566,-96.276944,US0080-RG,24.721,,,,
33.814728,-98.195362,US0082-KG,313.255,544,0.316,,
33.621978,-100.835458,US0082-KG,149.333,372,1.214,13201,1.011
31.508663,-99.920326,US0083-KG,384.07,402,0.795,,
29.210317,-99.786655,US0083-KG,557.571,582,0.535,,
26.377658,-98.815667,US0083-KG,792.043,820,1.938,,
32.756451,-99.896874,US0083-KG,288.236,302,1.289,3304,21.155
27.058222,-99.43536,US0083-KG,722.108,750,1.695,3803,16.19
36.398016,-100.803077,US0083-KG,7.076,16,1.14,3002,7.06
34.957705,-100.221271,US0083-KG,122.28,134,0.262,3103,9.536
32.756451,-99.896874,US0083-LG,288.265,,,,
26.380692,-98.8228,US0083-LG,791.547,,,,
26.380493,-98.822139,US0083-LG,791.591,,,,
34.957705,-100.221271,US0083-LG,122.291,134,0.262,,
26.377658,-98.815667,US0083-RG,792.015,,,,
26.377895,-98.81686,US0083-RG,791.94,,,,
32.756451,-99.896874,US0083-RG,288.284,,,,
34.957705,-100.221271,US0083-RG,122.29,134,0.262,,
31.434693,-97.750772,US0084-KG,393.198,646,0.026,,
31.757216,-106.496261,US0085-LG,5.166,326,0.666,,
29.79476,-98.732217,US0087-KG,620.89,658,0.894,7214,24.419
31.135194,-99.334843,US0087-KG,517.394,546,1.469,,
29.092659,-97.286589,US0087-KG,740.556,782,0.135,,
29.092474,-97.286181,US0087-KG,740.584,782,0.163,14309,18.241
29.092102,-97.285366,US0087-KG,740.639,782,0.218,14309,18.296
29.093588,-97.288629,US0087-KG,740.417,780,2.011,,
31.454243,-100.441161,US0087-KG,441.207,468,0.9,6907,36.92
31.460538,-100.442942,US0087-KG,440.759,468,0.452,6907,36.472
31.459101,-100.442288,US0087-KG,440.865,468,0.558,6907,36.578
29.08931,-97.292809,US0087-KG,739.983,780,1.577,14308,17.602
29.06541,-97.322475,US0087-KG,737.438,778,1.031,14308,15.057
30.66122,-99.10972,US0087-KG,555.728,584,1.778,7104,9.748
31.458029,-100.44143,US0087-LG,440.992,468,0.664,,
30.66122,-99.10972,US0087-LG,555.735,,,,
30.66122,-99.10972,US0087-RG,555.724,,,,
29.681873,-96.906033,US0090-KG,557.362,734,0.706,2603,16.744
29.655526,-97.601004,US0090-KG,514.371,692,0.754,2903,6.87
29.205888,-99.902195,US0090-KG,365.983,482,1.075,2305,14.044
29.706223,-96.53601,US0090-KG,580.052,758,0.611,2701,16.695
30.057794,-94.819354,US0090-KG,692.554,876,0.146,2803,13.063
29.655526,-97.601004,US0090-LG,514.372,,,,
29.655526,-97.601004,US0090-RG,514.372,,,,
29.205888,-99.902195,US0090-RG,365.99,482,1.079,,
32.759038,-97.797361,US0180-KG,294.403,546,2.019,803,1.915
32.759038,-97.797361,US0180-LG,294.405,,,,
32.759038,-97.797361,US0180-RG,294.409,,,,
32.759038,-97.797361,US0180-TA,0.023,,,,
32.759038,-97.797361,US0180-TA,0,,,,
30.245413,-97.691349,US0183-AG,327.335,522,0.649,,
33.178983,-99.17782,US0183-KG,75.741,262,1.744,,
31.449533,-98.569033,US0183-KG,219.467,,,,
28.66509,-97.388341,US0183-KG,448.162,642,0.358,15504,0.216
31.135194,-99.334843,US0190-KG,176.743,,,12804,30.027
30.847791,-93.75995,US0190-KG,575.345,866,1.604,24404,15.288
30.711127,-94.933933,US0190-KG,500.054,786,0.823,,
31.218037,-98.5641,US0190-KG,228.005,506,1.936,27205,0.218
31.135194,-99.334843,US0190-LG,176.77,,,,
31.135194,-99.334843,US0190-RG,176.766,,,,
28.522022,-99.860027,US0277-KG,490.565,650,1.05,30003,19.126
30.096721,-98.422759,US0281-KG,284.849,488,0.366,25301,28.351
33.220566,-98.158307,US0281-KG,55.914,250,0.74,,
32.641609,-98.100277,US0281-KG,98.8,292,1.858,25002,25.509
32.93276,-99.215246,US0283-KG,113.81,270,0.386,12504,7.389
32.728691,-97.414487,US0377-KG,96.516,,,,
33.001046,-97.229284,US0377-KG,71.29,264,0.981,8103,12.612
32.728691,-97.414487,US0377-LG,96.517,,,,
33.178983,-99.17782,US0380-KG,238.83,470,1.162,,
33.178485,-99.179052,US0380-KG,238.759,470,1.091,,
31.841909,-102.364585,US0385-KG,346.915,355,0.733,22901,0.317
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
30.14333,-96.266179,,,,,,
29.706025,-96.539942,,,,,,
29.442381,-96.946552,,,,,,
31.026982,-96.487301,,,,,,
30.159685,-96.405279,,,,,,
30.310599,-96.167054,,,,,,
28.401381,-97.748365,,,,,,
30.678094,-97.943817,,,,,,
28.701984,-96.215586,,,,,,
31.532468,-94.167817,,,,,,
31.531764,-94.12041,,,,,,
31.258439,-95.978035,,,,,,
31.605577,-94.65476,,,,,,
30.944618,-95.375754,,,,,,
29.462783,-98.477523,,,,,,
32.033793,-94.042286,,,,,,
28.80068,-97.000245,,,,,,
30.748343,-98.396978,,,,,,
30.85262,-94.181194,,,,,,
33.578272,-101.860098,,,,,,
33.569813,-96.207436,,,,,,
