RTE_DEFN_LN_NM,RTE_DFO
IH0030-RG,15.218
RM0474-KG,15.658
RM0474-KG,15.732
BU0287P-KG,16.228
BU0287P-KG,16.237
SH0144-KG,16.289
BU0287P-KG,16.449
BU0287P-KG,16.614
BU0287P-KG,16.679
BU0287P-KG,16.688
BU0287P-LG,16.704
BU0287P-KG,16.711
FM0730-KG,17.26
FM0922-KG,17.603
FM0381-KG,18.335
SH0094-KG,19.253
SH0020-KG,19.258
SH0020-KG,19.804
SH0081-KG,19.815
FM0389-KG,19.86
SH0020-KG,19.918
SH0020-KG,19.933
SH0020-KG,19.947
SH0081-KG,19.952
SH0020-KG,19.996
SH0020-KG,20.013
SH0020-KG,20.047
SH0020-KG,20.058
SH0081-KG,20.074
SH0081-KG,20.075
SH0081-KG,20.113
SH0027-KG,20.163
FM1155-KG,20.294
FM0389-KG,20.364
RM0150-KG,20.563
FM0390-KG,20.658
RM0150-KG,20.732
SH0154-KG,20.922
SH0061-KG,21.215
SH0060-KG,22.542
FM0056-KG,22.628
FM0088-KG,22.826
SH0060-KG,23.279
SH0060-KG,23.303
SH0060-KG,23.33
SH0060-RG,23.671
SH0060-KG,23.673
SH0060-LG,23.911
SH0060-LG,23.958
SH0060-KG,23.959
SH0060-KG,24.006
SH0060-KG,24.021
SH0060-RG,24.036
SH0060-RG,24.044
US0080-KG,24.586
US0080-LG,24.642
US0080-RG,24.721
SH0005-KG,25.165
SH0005-KG,25.232
SH0005-KG,25.317
RM0152-KG,27.651
FM0066-KG,32.558
FM0066-KG,32.564
SH0022-KG,32.609
SH0022-KG,32.618
FM0066-KG,32.639
SH0108-KG,34.41
SH0095-KG,35.573
SH0095-KG,35.688
SH0171-KG,39.242
SH0171-LG,39.259
SH0171-KG,39.272
SH0171-LG,39.29
SH0034-LG,39.296
SH0034-KG,39.323
SH0171-KG,39.337
SH0171-LG,39.356
SH0144-KG,39.892
SH0144-KG,39.9
SH0090-KG,40.371
SH0021-KG,41.399
SH0021-LG,41.403
SH0021-XG,41.411
SH0021-LG,41.727
SH0021-XG,41.736
SH0036-KG,42.374
SH0317-KG,43.186
SH0317-KG,43.225
SH0317-KG,43.673
SH0317-KG,43.7
SH0317-KG,43.795
SH0317-KG,43.91
SH0317-KG,44.17
IH0045-LG,48.05
SH0060-KG,48.625
SH0049-KG,50.358
SH0136-KG,50.628
SH0094-KG,51.695
SH0199-KG,53.288
