Highway,Begin RM,Begin Displacement,Ending RM,Ending Displacement,County,Maintenance Section,Inspector,Accompanied By,Road Type,Inspection Section Source,Inspection ID,Date Update,User Update
FM0585-KG,342,1.9,344,0.92,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109628,,
FM0586-KG,346,1.4,348,0.4,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109657,,
FM1467-KG,348,0.6,348,1.6,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109681,,
FM2126-KG,342,0.8,342,1.8,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109618,,
FM2273-KG,460,1.1,462,0.07,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109599,,
FM2492-KG,448,1.7,450,0.73,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109679,,
FM2559-KG,326,1.2,328,0.23,Brown,2301 - Brown County Maintenance Office,,,Non Interstate,By District,77109600,,
